Log file created at 2024-05-13-18-26-13
2.58: Loading file: README.md
2.63: Key released: key.enter
3.34: Key pressed: key.down
3.42: Key released: key.down
4.34: Key pressed: key.shift
4.73: Key pressed: f
4.84: Key released: f
4.84: Key released: key.shift
5.29: Key pressed: -
5.36: Key released: -
6.35: Key pressed: i
6.42: Key released: i
6.69: Key pressed: d
6.81: Key pressed: e
6.84: Key released: d
6.89: Key released: e
8.98: Key pressed: key.backspace
9.24: Key released: key.backspace
9.35: Key pressed: key.backspace
9.42: Key released: key.backspace
9.52: Key pressed: key.backspace
9.60: Key released: key.backspace
9.93: Key pressed: key.backspace
9.98: Key released: key.backspace
10.80: Key pressed: key.ctrl_l
11.00: Key pressed: key.x03
